Pscore,2,3,4,5,6,7,8,9,10,11
21,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
20,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
19,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
18,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
17,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
16,stand,stand,stand,stand,stand,hit,hit,hit,stand,stand
15,stand,stand,stand,stand,stand,hit,hit,hit,stand,hit
14,stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
13,stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
12,hit,hit,stand,stand,stand,hit,hit,hit,hit,hit
11,hit,stand,stand,stand,stand,hit,hit,hit,hit,hit
10,hit,stand,stand,stand,stand,hit,hit,hit,hit,hit
9,hit,stand,stand,stand,stand,hit,hit,hit,hit,hit
8,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
7,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
6,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
5,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
4,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
3,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
2,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
